id,n,lat,lon
168246,58,32.490962,-136.822367
73af16,5,31.829867,-133.918516
167926,5,30.362666,-132.216401
a78a0e,5,28.030645,-131.431105
160825,1,21.290474,-157.824908
33318c,5,34.987017,-152.965556
fb30c8,38,36.815514,-142.160111
35226e,22,32.474047,-145.458447
168108,53,33.375494,-135.685109
9374c2,9,38.564943,-134.180092
165841,12,32.354167,-120.708333
b44829,6,29.582809,-134.461945
e2d6ff,10,36.825844,-140.094330
4c85a6,7,30.140554,-144.003513
cadd11,28,30.839694,-141.746702
d66677,11,33.088808,-153.045862
107435,6,37.286312,-149.596664
52feb0,4,27.257002,-152.832123
167959,32,36.852918,-35.101210
6dee9a,1,39.428375,-33.641072
803206,6,2.984218,-17.064388
6f4ea3,13,-15.717733,-6.002833
167281,3,-34.021830,18.420452
161908,92,-6.714617,39.222885
168113,89,50.098533,-1.256133
164026,9,8.671186,77.086485
163249,51,3.186668,101.607912
162390,54,-7.343239,112.694987
168181,13,33.578986,130.266920
166215,21,34.030000,141.050000