lat,lon,x_wind,y_wind
-67.0,251.75,-5.054535,4.2148714
-66.75,261.75,-4.3239117,0.75700104
-66.25,273.25,-5.549101,-0.7533103
-65.0,283.25,0.98361063,-0.55033517
-61.75,293.25,6.1469717,-0.26690757
-60.0,303.25,20.544172,-9.116988
-58.25,319.5,-1.0880593,9.472685
-58.25,337.75,4.1472983,-8.226939
-57.5,347.75,3.569063,5.0933566
-55.75,357.75,0.84348565,-2.9782188
-45.75,0.0,3.627054,0.91335386
-45.75,10.0,7.4361815,0.45343354
-45.75,20.0,7.9421706,0.7323308
-45.75,30.0,9.426047,1.4670978
-45.75,40.0,9.03752,-0.28088984
-45.75,50.0,8.719168,-1.348577
-45.75,60.0,9.260057,-2.3473282
-45.75,70.0,8.924802,-1.5385513
-45.75,80.0,8.108088,-2.319147
-45.75,90.0,9.269034,-1.3928632
-45.75,100.0,10.200266,-1.4854316
-45.75,110.0,9.990846,-1.208844
-45.75,120.0,8.396331,-1.9883567
-45.75,130.0,7.740199,-3.4169686
-45.75,140.0,6.517912,-3.332645
-45.75,150.0,6.737406,-1.891806
-45.75,160.0,5.494028,-0.11394425
-45.75,170.5,3.7267833,-5.8101745
-45.75,180.5,6.142046,0.2768902
-45.75,190.5,6.073603,-0.02124157
-45.75,200.5,4.318324,0.46859348
-45.75,210.5,3.8176308,-0.3590689
-45.75,220.5,2.8407488,-1.5659963
-45.75,230.5,2.3682418,-1.2014134
-45.75,240.5,2.3875082,-0.14279531
-45.75,250.5,3.777809,-1.2878189
-45.75,260.5,4.206236,-0.8981048
-45.75,270.5,5.044721,-1.7880927
-45.75,280.5,6.003936,-3.4625401
-45.75,292.5,10.928669,1.5059676
-45.75,302.5,4.004515,-1.7435764
-45.75,312.5,4.89251,0.29242852
-45.75,322.5,5.020351,0.55332464
-45.75,332.5,2.3909743,0.89361256
-45.75,342.5,1.5563424,-0.24682835
-45.75,352.5,2.610963,1.6000439
-35.75,0.0,5.1508803,-2.0622776
-35.75,10.0,5.4810147,0.9760288
-35.75,20.0,5.258798,0.8379736
-35.75,30.0,3.7023363,1.5358245
-35.75,40.0,5.367793,-0.64938396
-35.75,50.0,5.6765156,-2.1494362
-35.75,60.0,6.143326,-2.730592
-35.75,70.0,6.527734,-2.2012694
-35.75,80.0,5.6165547,-1.2053485
-35.75,90.0,5.262774,-0.3793317
-35.75,100.0,4.690262,0.4192602
-35.75,110.0,6.1384506,0.8613617
-35.75,120.0,5.00481,-0.18767609
-35.75,130.0,3.055693,0.3998445
-35.75,150.5,2.3757362,-0.7537042
-35.75,160.5,1.2749412,0.26341593
-35.75,170.5,2.3738008,0.81579435
-35.75,180.5,3.3454027,1.5762937
-35.75,190.5,3.9202406,0.7546547
-35.75,200.5,4.879706,-0.78622544
-35.75,210.5,6.1281815,-1.4736092
-35.75,220.5,6.5844865,-0.84725875
-35.75,230.5,6.450958,-0.8132964
-35.75,240.5,7.4346223,-1.2791911
-35.75,250.5,5.7810426,-2.3188696
-35.75,260.5,5.9089737,-2.6172338
-35.75,270.5,5.7833405,-2.9418168
-35.75,280.5,3.8047059,0.22847018
-35.75,303.0,-2.3721278,-0.94180393
-35.75,313.0,1.5608687,0.097185306
-35.75,323.0,3.3892465,1.1883438
-35.75,333.0,3.8715863,-0.039243888
-35.75,343.0,3.9923685,-0.5388034
-35.75,353.0,3.9335833,-1.9059048
-25.75,0.0,-3.7598038,2.2839878
-25.75,10.0,-3.0603216,6.5827775
-25.75,33.25,-4.5896053,-3.3432295
-25.75,43.25,-3.0335565,1.6270963
-25.75,53.25,-2.8681557,-0.5056904
-25.75,63.25,-3.9209268,0.7009322
-25.75,73.25,-4.5414824,1.662944
-25.75,83.25,-4.358469,2.9253192
-25.75,93.25,-3.1384778,3.4742048
-25.75,103.25,-2.3216183,3.4354491
-25.75,113.25,-4.076277,7.379411
-25.75,153.25,-7.3604136,5.489375
-25.75,163.25,-0.45216158,2.0199866
-25.75,173.25,-0.785973,2.4188256
-25.75,183.25,0.4093452,1.1161973
-25.75,193.25,-0.6082814,1.3837305
-25.75,203.25,-0.6837443,-0.04267192
-25.75,213.25,-0.027196597,-1.612875
-25.75,223.25,0.68039906,-0.8248861
-25.75,233.25,0.8842415,-1.1231145
-25.75,243.25,0.4193822,-0.8121513
-25.75,253.25,-1.0033557,-0.7057764
-25.75,263.25,-1.9515948,-1.154703
-25.75,273.25,-3.3821473,2.059148
-25.75,283.25,-0.10391553,7.066529
-25.75,311.75,-10.084902,-2.8242736
-25.75,321.75,-1.7843144,-0.86858714
-25.75,331.75,-0.4247982,2.6989577
-25.75,341.75,0.6950953,-1.6203996
-25.75,351.75,-2.718371,-0.84030306
-15.75,0.0,-5.2683544,4.81204
-15.75,10.0,-0.031826545,4.8122773
-15.75,40.0,-3.2710135,-1.5445259
-15.75,50.25,-6.17756,4.087685
-15.75,60.25,-8.016427,5.0231614
-15.75,70.25,-8.544466,5.0240407
-15.75,80.25,-8.45357,5.566808
-15.75,90.25,-7.322359,5.738566
-15.75,100.25,-7.3350205,4.367356
-15.75,110.25,-4.369669,4.8424635
-15.75,120.25,-0.6298317,3.6047056
-15.75,136.75,-3.3708735,0.67912763
-15.75,146.75,-6.616593,5.2241254
-15.75,156.75,-6.9049845,6.1056414
-15.75,166.75,-6.531679,4.260136
-15.75,176.75,-5.3619943,2.271172
-15.75,186.75,-4.379667,0.37549433
-15.75,196.75,-5.148106,-0.6876113
-15.75,206.75,-7.0558887,0.09815798
-15.75,216.75,-7.565228,1.1394737
-15.75,226.75,-7.3757005,2.0562284
-15.75,236.75,-7.0824637,1.7782484
-15.75,246.75,-6.817903,2.046434
-15.75,256.75,-7.403508,2.8166544
-15.75,266.75,-7.2623434,3.9090853
-15.75,276.75,-5.118528,5.712116
-15.75,321.25,-6.0128064,3.227627
-15.75,331.25,-5.5055175,3.2844272
-15.75,341.25,-6.0092797,2.0935657
-15.75,351.25,-6.4522624,2.9717555
-5.75,0.0,-2.6706493,3.8946044
-5.75,10.0,1.9411992,2.662562
-5.75,39.5,-5.562851,4.1903157
-5.75,49.5,-3.700088,7.301053
-5.75,59.5,-5.9437714,5.2711415
-5.75,69.5,-6.9043546,4.173584
-5.75,79.5,-4.396803,4.0812883
-5.75,89.5,-7.1397367,3.7920394
-5.75,99.5,-5.395958,5.369206
-5.75,109.5,-3.225876,4.1315575
-5.75,119.5,-3.5944715,5.3255205
-5.75,129.5,-4.076434,4.392139
-5.75,151.25,-0.68123096,1.6711764
-5.75,161.25,-5.6062994,2.7579715
-5.75,171.25,-7.026099,1.4766781
-5.75,181.25,-8.020713,0.4153259
-5.75,191.25,-8.286247,0.77792263
-5.75,201.25,-8.413178,0.7852309
-5.75,211.25,-8.241674,1.7950443
-5.75,221.25,-7.746855,2.8735232
-5.75,231.25,-7.431955,3.4930978
-5.75,241.25,-6.7701864,4.2398853
-5.75,251.25,-6.1708593,5.053916
-5.75,261.25,-5.220323,5.067421
-5.75,271.25,-3.053186,5.259384
-5.75,324.75,-7.8654275,8.33976
-5.75,334.75,-5.549681,5.426181
-5.75,344.75,-4.554465,4.5920076
-5.75,354.75,-3.3023462,4.6487193
4.25,0.0,2.5631757,4.5386453
4.25,47.75,4.1227283,7.254058
4.25,57.75,5.0792584,3.8311753
4.25,67.75,3.8510158,0.84560466
4.25,77.75,4.208464,1.5339168
4.25,87.75,5.6323686,4.032809
4.25,98.5,-0.2929054,1.4829003
4.25,108.5,2.6549711,3.6933143
4.25,118.5,-0.6690914,2.5104668
4.25,128.5,2.4630847,3.794404
4.25,138.5,1.505444,2.0319853
4.25,148.5,-0.90017277,2.4219859
4.25,158.5,-2.7422628,0.09197781
4.25,168.5,-5.7645564,0.54580903
4.25,178.5,-6.388746,1.8723891
4.25,188.5,-6.373734,2.208652
4.25,198.5,-5.2736087,4.1074815
4.25,208.5,-5.8070254,4.4071445
4.25,218.5,-5.5574617,4.2263923
4.25,228.5,-2.9304073,6.0172424
4.25,238.5,-1.662793,7.080064
4.25,248.5,-0.92020893,7.4192514
4.25,258.5,0.8138433,7.407416
4.25,268.5,2.052902,6.604922
4.25,278.5,4.0825458,4.659616
4.25,308.5,-5.367361,0.31392345
4.25,318.5,-4.440905,3.7713103
4.25,328.5,-0.008769379,6.197714
4.25,338.5,0.9093634,6.311661
4.25,348.5,1.2668723,6.251521
4.25,358.5,2.4776611,4.378758
14.25,48.75,2.0320718,4.536635
14.25,58.75,6.974933,5.857489
14.25,68.75,7.217859,1.3424037
14.25,80.5,5.222093,1.0849712
14.25,90.5,6.602402,5.2983117
14.25,109.25,3.0880814,3.2131917
14.25,119.25,3.217735,4.8684716
14.25,129.25,3.7888515,2.16907
14.25,139.25,0.8526144,2.9041889
14.25,149.25,-2.7589853,1.5790085
14.25,159.25,-6.019325,0.37070844
14.25,169.25,-7.3714914,-0.62978756
14.25,179.25,-8.264312,-1.7731053
14.25,189.25,-7.8579783,-2.7422817
14.25,199.25,-7.7628765,-2.6655474
14.25,209.25,-7.0032663,-3.6527076
14.25,219.25,-6.524262,-4.351267
14.25,229.25,-4.6393695,-5.4241786
14.25,239.25,-1.8540915,-4.4213533
14.25,249.25,2.773412,-0.06542457
14.25,259.25,0.8502824,-0.670854
14.25,277.0,-3.3446276,-1.3157005
14.25,287.0,-6.5647583,-0.28476608
14.25,297.0,-4.3404174,0.3427145
14.25,307.0,-5.181137,-0.42921275
14.25,317.0,-5.7466726,-2.162658
14.25,327.0,-5.392721,-3.8522274
14.25,337.0,-3.4437869,-3.6590104
24.25,35.75,3.3669088,-3.0000958
24.25,57.25,0.8463709,2.3451352
24.25,67.25,3.1880057,2.633366
24.25,118.0,-1.8840067,2.5556922
24.25,128.0,-0.8060323,-3.7980075
24.25,138.0,-3.9501207,4.1165247
24.25,148.0,-4.9945006,1.1346811
24.25,158.0,-7.292319,1.872272
24.25,168.0,-6.8165956,0.5416818
24.25,178.0,-6.4866924,0.084405616
24.25,188.0,-5.6349745,-1.2663121
24.25,198.0,-5.0612645,-0.9784394
24.25,208.0,-4.7417817,0.2076678
24.25,218.0,-4.063745,-1.5743407
24.25,228.0,-2.831202,-3.314002
24.25,238.0,-0.5735473,-4.822675
24.25,248.0,3.6043744,-3.2690933
24.25,262.5,-3.1252367,7.323941
24.25,272.5,-2.7263615,1.0209016
24.25,282.5,-3.8276901,1.1270595
24.25,292.5,-5.4312377,0.63664633
24.25,302.5,-7.508781,0.5997292
24.25,312.5,-4.8148556,-0.7663888
24.25,322.5,-4.0408373,-0.633732
24.25,332.5,-4.4676485,-3.488174
24.25,342.5,-3.016919,-6.6900907
33.75,352.5,1.1084521,-2.928211
43.75,7.25,-1.9273511,-1.4705617
43.75,28.25,-2.2368765,-4.3858757
43.75,38.25,0.07412764,-3.3825183
43.75,48.25,-0.6785564,1.8716539
43.75,135.0,4.1359806,5.3735533
43.75,146.25,0.28560102,4.845585
43.75,156.25,0.31344536,1.7844237
43.75,166.25,1.2285881,0.85062796
43.75,176.25,2.333496,-0.99834085
43.75,186.25,3.860669,-3.034994
43.75,196.25,5.7731156,-3.0270548
43.75,206.25,6.7058406,-0.97924054
43.75,216.25,4.991113,2.690433
43.75,226.25,2.440889,0.9577107
43.75,290.0,-0.3444035,3.6925552
43.75,300.0,2.2502608,-0.21993856
43.75,310.0,3.1432133,-0.8584271
43.75,320.0,4.498082,-1.0995405
43.75,330.0,4.260043,0.32376066
43.75,340.0,3.516794,1.4979466
43.75,350.0,2.5986018,0.42936134
53.75,0.0,5.227953,-5.195449
53.75,140.25,12.728602,0.019678295
53.75,150.25,3.1311042,1.6353569
53.75,160.25,1.9614707,2.0997064
53.75,170.25,4.422027,0.74855006
53.75,180.25,5.235044,-0.23989412
53.75,190.25,5.603168,-2.6824756
53.75,200.25,5.877667,-2.9505255
53.75,210.25,4.127586,3.9956064
53.75,220.25,2.2678373,3.944816
53.75,303.75,4.177857,-1.5433074
53.75,313.75,5.9578986,-0.36008346
53.75,323.75,6.751387,-0.2096886
53.75,333.75,7.366927,0.47911146
53.75,343.75,6.6742268,4.4628687
53.75,359.75,5.1881175,-5.2353344
63.75,0.0,0.959495,2.8665667
63.75,179.0,1.0677258,-1.7124434
63.75,189.0,-1.0568802,0.6285866
63.75,269.75,1.638087,2.0019841
63.75,283.5,3.6973639,-5.649759
63.75,296.0,3.344792,-0.18363869
63.75,306.0,-1.1537507,-0.8569664
63.75,319.25,-8.184782,-0.22128588
63.75,329.25,-5.3967795,-4.322486
63.75,342.25,-0.3744263,-4.584736
63.75,352.25,-0.12693675,1.5369595
73.75,0.0,-1.4231327,-1.2348031
73.75,10.0,-1.414039,-0.012043381
73.75,20.0,-1.0915759,1.3218181
73.75,30.0,-0.43045107,2.5017047
73.75,40.0,-0.38126647,2.720813
73.75,50.0,0.01352783,2.9466288
73.75,60.0,0.51398146,1.5946143
73.75,70.0,1.3966516,0.7139569
73.75,80.0,1.5810907,1.6279879
73.75,116.5,3.7799988,0.98914844
73.75,126.5,2.1139848,-2.3805299
73.75,136.5,1.230969,-0.4223946
73.75,146.5,0.26127166,0.24262081
73.75,156.5,0.29537266,-0.8926724
73.75,172.75,-15.443648,-2.1993237
73.75,182.75,-0.82791173,-3.3596985
73.75,192.75,-1.3902422,-1.4974502
73.75,202.75,-2.0977511,-0.7873668
73.75,212.75,-3.5486293,-3.1280928
73.75,230.75,-5.903068,-0.9381341
73.75,246.25,7.1985483,-4.2934546
73.75,256.25,0.7266833,-1.5276837
73.75,280.75,4.8075223,-3.8755932
73.75,290.75,0.6965329,-1.5785544
73.75,300.75,-2.8926437,4.020746
73.75,344.25,1.7120699,-8.408683
73.75,354.25,-1.4090992,-2.3397386
